 ,,name,before_lateral_mean,before_posterior_mean,before_background_mean,before_lateral_median,before_posterior_median,before_background_median,after_lateral_mean,after_posterior_mean,after_background_mean,after_lateral_median,after_posterior_median,after_background_median
1,0,20220728_Exp4_position2,3512.329,3574.194,3189.176,3512,3572,3188,3454.997,3417.392,3206.035,3455,3410.5,3204
2,0,20220728_Exp6_position1,3789.813,3862.552,3219.641,3788.5,3851,3218,3465.32,3469.638,3251.014,3459,3466,3251
3,0,20220729_Exp2_position3,3519.05,3559.323,3189.593,3512,3561,3187,3479.215,3428.531,3168.35,3474,3425,3168
4,0,20220729_Exp5_position1,3575.666,3644.374,3206.961,3573,3637.5,3205,3479.61,3391.435,3233.017,3471,3377.5,3233.5
5,0,20220729_Exp7_position3,3588.553,3794.845,3186.428,3582,3788,3185,3490.431,3544.108,3175.363,3483,3542.5,3176
1,0,20201119_Oocyte3,3930.799,4056.98,3223.786,3924,4046.5,3225,3655.017,3715.329,3223.413,3648,3703,3220.5
2,0,20201119_Oocyte5,4022.343,4016.867,3227.553,4013,4007,3226.5,3670.935,3653.211,3215.515,3664.5,3645.5,3214
3,0,20201119_Oocyte7,4428.099,4341.903,3230.697,4417,4330,3229,3863.986,3973.203,3225.2,3851,3960,3225
4,0,20201120_Oocyte3,4336.002,4398.165,3248.993,4326,4421.5,3248.5,3775.513,3836.043,3229.861,3768,3825.5,3231
5,0,20201124_Oocyte1,4731.775,4921.975,3227.375,4733,4906,3227,4163.27,4297.595,3238.634,4154,4290.5,3237
6,0,20201126_Oocyte1,4399.34,4502.096,3239.545,4394,4492,3240,3870.739,3854.017,3242.452,3863,3835,3244
7,0,20201126_Oocyte3,4434.25,4443.732,3239.526,4425,4428,3236,4083.025,4090.811,3234.393,4056,4084,3234
8,0,20201127_Oocyte1,4359.732,4485.645,3249.404,4383,4480,3249,3776.317,3982.975,3237.714,3764,3968.5,3238
9,0,20201130_Oocyte3,4045.324,4052.686,3234.719,4044,4053,3233,3672.679,3731.821,3234.349,3666,3724,3236
